src_name,src_if,dst_name,dst_if,speed
net301-sp-sw01,Ethernet3/1/1,net001-lf-sw01,Ethernet4/1,800
net301-sp-sw01,Ethernet3/2/1,net001-lf-sw01,Ethernet8/1,800
net301-sp-sw01,Ethernet4/1/1,net001-lf-sw01,Ethernet12/1,800
net301-sp-sw01,Ethernet4/2/1,net001-lf-sw01,Ethernet16/1,800
net301-sp-sw01,Ethernet3/3/1,net001-lf-sw02,Ethernet4/1,800
net301-sp-sw01,Ethernet3/4/1,net001-lf-sw02,Ethernet8/1,800
net301-sp-sw01,Ethernet4/3/1,net001-lf-sw02,Ethernet12/1,800
net301-sp-sw01,Ethernet4/4/1,net001-lf-sw02,Ethernet16/1,800
net301-sp-sw01,Ethernet3/5/1,net002-lf-sw01,Ethernet4/1,800
net301-sp-sw01,Ethernet3/6/1,net002-lf-sw01,Ethernet8/1,800
net301-sp-sw01,Ethernet4/5/1,net002-lf-sw01,Ethernet12/1,800
net301-sp-sw01,Ethernet4/6/1,net002-lf-sw01,Ethernet16/1,800
net301-sp-sw01,Ethernet3/7/1,net002-lf-sw02,Ethernet4/1,800
net301-sp-sw01,Ethernet3/8/1,net002-lf-sw02,Ethernet8/1,800
net301-sp-sw01,Ethernet4/7/1,net002-lf-sw02,Ethernet12/1,800
net301-sp-sw01,Ethernet4/8/1,net002-lf-sw02,Ethernet16/1,800
net301-sp-sw01,Ethernet3/9/1,net003-lf-sw01,Ethernet4/1,800
net301-sp-sw01,Ethernet3/10/1,net003-lf-sw01,Ethernet8/1,800
net301-sp-sw01,Ethernet4/9/1,net003-lf-sw01,Ethernet12/1,800
net301-sp-sw01,Ethernet4/10/1,net003-lf-sw01,Ethernet16/1,800
net301-sp-sw01,Ethernet3/11/1,net003-lf-sw02,Ethernet4/1,800
net301-sp-sw01,Ethernet3/12/1,net003-lf-sw02,Ethernet8/1,800
net301-sp-sw01,Ethernet4/11/1,net003-lf-sw02,Ethernet12/1,800
net301-sp-sw01,Ethernet4/12/1,net003-lf-sw02,Ethernet16/1,800
net301-sp-sw01,Ethernet3/13/1,net004-lf-sw01,Ethernet4/1,800
net301-sp-sw01,Ethernet3/14/1,net004-lf-sw01,Ethernet8/1,800
net301-sp-sw01,Ethernet4/13/1,net004-lf-sw01,Ethernet12/1,800
net301-sp-sw01,Ethernet4/14/1,net004-lf-sw01,Ethernet16/1,800
net301-sp-sw01,Ethernet3/15/1,net004-lf-sw02,Ethernet4/1,800
net301-sp-sw01,Ethernet3/16/1,net004-lf-sw02,Ethernet8/1,800
net301-sp-sw01,Ethernet4/15/1,net004-lf-sw02,Ethernet12/1,800
net301-sp-sw01,Ethernet4/16/1,net004-lf-sw02,Ethernet16/1,800
net301-sp-sw01,Ethernet3/17/1,net005-lf-sw01,Ethernet4/1,800
net301-sp-sw01,Ethernet3/18/1,net005-lf-sw01,Ethernet8/1,800
net301-sp-sw01,Ethernet4/17/1,net005-lf-sw01,Ethernet12/1,800
net301-sp-sw01,Ethernet4/18/1,net005-lf-sw01,Ethernet16/1,800
net301-sp-sw01,Ethernet3/19/1,net005-lf-sw02,Ethernet4/1,800
net301-sp-sw01,Ethernet3/20/1,net005-lf-sw02,Ethernet8/1,800
net301-sp-sw01,Ethernet4/19/1,net005-lf-sw02,Ethernet12/1,800
net301-sp-sw01,Ethernet4/20/1,net005-lf-sw02,Ethernet16/1,800
net301-sp-sw01,Ethernet3/21/1,net006-lf-sw01,Ethernet4/1,800
net301-sp-sw01,Ethernet3/22/1,net006-lf-sw01,Ethernet8/1,800
