src_name,src_if,dst_name,dst_if,speed
net001-lf-sw02,Ethernet27/1,net001-sx-sr20,eth400g0,400
net001-lf-sw02,Ethernet27/5,net001-sx-sr20,eth400g1,400
net001-lf-sw02,Ethernet31/1,net001-sx-sr22,eth400g0,400
net001-lf-sw02,Ethernet31/5,net001-sx-sr22,eth400g1,400
net002-lf-sw02,Ethernet27/1,net002-sx-sr20,eth400g0,400
net002-lf-sw02,Ethernet27/5,net002-sx-sr20,eth400g1,400
net002-lf-sw02,Ethernet31/1,net002-sx-sr22,eth400g0,400
net002-lf-sw02,Ethernet31/5,net002-sx-sr22,eth400g1,400
net003-lf-sw02,Ethernet27/1,net003-sx-sr20,eth400g0,400
net003-lf-sw02,Ethernet27/5,net003-sx-sr20,eth400g1,400
net003-lf-sw02,Ethernet31/1,net003-sx-sr22,eth400g0,400
net003-lf-sw02,Ethernet31/5,net003-sx-sr22,eth400g1,400
net004-lf-sw02,Ethernet27/1,net004-sx-sr20,eth400g0,400
net004-lf-sw02,Ethernet27/5,net004-sx-sr20,eth400g1,400
net004-lf-sw02,Ethernet31/1,net004-sx-sr22,eth400g0,400
net004-lf-sw02,Ethernet31/5,net004-sx-sr22,eth400g1,400
net005-lf-sw02,Ethernet27/1,net005-sx-sr20,eth400g0,400
net005-lf-sw02,Ethernet27/5,net005-sx-sr20,eth400g1,400
net005-lf-sw02,Ethernet31/1,net005-sx-sr22,eth400g0,400
net005-lf-sw02,Ethernet31/5,net005-sx-sr22,eth400g1,400
net006-lf-sw02,Ethernet27/1,net006-sx-sr20,eth400g0,400
net006-lf-sw02,Ethernet27/5,net006-sx-sr20,eth400g1,400
net006-lf-sw02,Ethernet31/1,net006-sx-sr22,eth400g0,400
net006-lf-sw02,Ethernet31/5,net006-sx-sr22,eth400g1,400
net001-lf-sw01,Ethernet27/1,net001-sx-sr08,eth400g0,400
net001-lf-sw01,Ethernet27/5,net001-sx-sr08,eth400g1,400
net001-lf-sw01,Ethernet31/1,net001-sx-sr10,eth400g0,400
net001-lf-sw01,Ethernet31/5,net001-sx-sr10,eth400g1,400
net002-lf-sw01,Ethernet27/1,net002-sx-sr08,eth400g0,400
net002-lf-sw01,Ethernet27/5,net002-sx-sr08,eth400g1,400
net002-lf-sw01,Ethernet31/1,net002-sx-sr10,eth400g0,400
net002-lf-sw01,Ethernet31/5,net002-sx-sr10,eth400g1,400
net003-lf-sw01,Ethernet27/1,net003-sx-sr08,eth400g0,400
net003-lf-sw01,Ethernet27/5,net003-sx-sr08,eth400g1,400
net003-lf-sw01,Ethernet31/1,net003-sx-sr10,eth400g0,400
net003-lf-sw01,Ethernet31/5,net003-sx-sr10,eth400g1,400
net004-lf-sw01,Ethernet27/1,net004-sx-sr08,eth400g0,400
net004-lf-sw01,Ethernet27/5,net004-sx-sr08,eth400g1,400
net004-lf-sw01,Ethernet31/1,net004-sx-sr10,eth400g0,400
net004-lf-sw01,Ethernet31/5,net004-sx-sr10,eth400g1,400
net005-lf-sw01,Ethernet27/1,net005-sx-sr08,eth400g0,400
net005-lf-sw01,Ethernet27/5,net005-sx-sr08,eth400g1,400
net005-lf-sw01,Ethernet31/1,net005-sx-sr10,eth400g0,400
net005-lf-sw01,Ethernet31/5,net005-sx-sr10,eth400g1,400
net006-lf-sw01,Ethernet27/1,net006-sx-sr08,eth400g0,400
net006-lf-sw01,Ethernet27/5,net006-sx-sr08,eth400g1,400
net006-lf-sw01,Ethernet31/1,net006-sx-sr10,eth400g0,400
net006-lf-sw01,Ethernet31/5,net006-sx-sr10,eth400g1,400
